Timeline ID,Game ID,Timeline Order,Section,Type,Name,Requirement,Available After,Travel Zone,Instructions,Why Now?,Status,Verified,Source 1,Source 2,Research Notes,App Notes
T0011,ACT003,11,Broker Opening,Activity,Win a game of Darts,100%,M005,Broker,Win one game of darts against a friend or date.,Darts can be cleared alongside early social content before the map expands.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0012,Q001,12,Broker Opening,Activity,"Beat the QUB3D high score (10,950+)",100%,M005,Broker/Dukes,"Play QUB3D and beat the high score of 10,950 points.","This is a self-contained 100% requirement with no story dependency, so doing it early removes future cleanup.",Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,,
T0013,M006,13,Broker Opening,Mission,Easy Fare,Story,M004 / M005,Broker,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0014,M007,14,Broker Opening,Mission,Jamaican Heat,Story,M006,Broker,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0015,M008,15,Broker Opening,Mission,Concrete Jungle,Story,M007,Broker,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0016,M009,16,Broker/Dukes,Mission,Bull in a China Shop,Story,M006,Broker,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0017,M010,17,Broker/Dukes,Mission,Hung Out to Dry,Story,M009,Broker,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0018,M011,18,Broker/Dukes,Mission,Clean Getaway,Story,M010,Broker,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0019,M012,19,Broker/Dukes,Mission,Ivan the Not So Terrible,Story,M011,Broker,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0020,M013,20,Broker/Dukes,Mission,Uncle Vlad,Story,M012,Broker,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0021,M014,21,Broker/Dukes,Mission,Crime and Punishment,Story,M013,Broker,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0022,VG001,22,Broker/Dukes,Vigilante,Complete 20 Vigilante crimes,100%,M014,Broker/Dukes/Bohan,Use a police computer's 'View Current Crimes' option and complete 20 crimes.,"Police-computer work is available now, and completing the 20-crime requirement in one focused block avoids forgetting partial progress later.",Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0023,MW001,23,Broker/Dukes,Most Wanted,Most Wanted – Maxwell Caughlin,100%,M014,Bohan,Use the police computer and eliminate Maxwell Caughlin.,Clear the ten Broker/Dukes/Bohan Most Wanted targets before the story pulls you deeper into Algonquin.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0024,MW002,24,Broker/Dukes,Most Wanted,Most Wanted – Scott Guzowski,100%,M014,Dukes,Use the police computer and eliminate Scott Guzowski.,Clear the ten Broker/Dukes/Bohan Most Wanted targets before the story pulls you deeper into Algonquin.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0025,MW003,25,Broker/Dukes,Most Wanted,Most Wanted – Antonio Rivette,100%,M014,Broker,Use the police computer and eliminate Antonio Rivette.,Clear the ten Broker/Dukes/Bohan Most Wanted targets before the story pulls you deeper into Algonquin.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0026,MW004,26,Broker/Dukes,Most Wanted,Most Wanted – Rodrigo Stavnes,100%,M014,Dukes,Use the police computer and eliminate Rodrigo Stavnes.,Clear the ten Broker/Dukes/Bohan Most Wanted targets before the story pulls you deeper into Algonquin.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0027,MW005,27,Broker/Dukes,Most Wanted,Most Wanted – Fernando Tisdel,100%,M014,Broker,Use the police computer and eliminate Fernando Tisdel.,Clear the ten Broker/Dukes/Bohan Most Wanted targets before the story pulls you deeper into Algonquin.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0028,MW006,28,Broker/Dukes,Most Wanted,Most Wanted – Tyler Pickrel,100%,M014,Dukes,Use the police computer and eliminate Tyler Pickrel.,Clear the ten Broker/Dukes/Bohan Most Wanted targets before the story pulls you deeper into Algonquin.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0029,MW007,29,Broker/Dukes,Most Wanted,Most Wanted – Preston Pecinovsky,100%,M014,Bohan,Use the police computer and eliminate Preston Pecinovsky.,Clear the ten Broker/Dukes/Bohan Most Wanted targets before the story pulls you deeper into Algonquin.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0030,MW008,30,Broker/Dukes,Most Wanted,Most Wanted – Alonso Goralski,100%,M014,Dukes,Use the police computer and eliminate Alonso Goralski.,Clear the ten Broker/Dukes/Bohan Most Wanted targets before the story pulls you deeper into Algonquin.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0031,MW009,31,Broker/Dukes,Most Wanted,Most Wanted – Bert Reker,100%,M014,Dukes,Use the police computer and eliminate Bert Reker.,Clear the ten Broker/Dukes/Bohan Most Wanted targets before the story pulls you deeper into Algonquin.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0032,MW010,32,Broker/Dukes,Most Wanted,Most Wanted – Freddy Paparo,100%,M014,Dukes,Use the police computer and eliminate Freddy Paparo.,Clear the ten Broker/Dukes/Bohan Most Wanted targets before the story pulls you deeper into Algonquin.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,,
T0033,M015,33,Broker/Dukes,Mission,Do You Have Protection?,Story,M014,Broker,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0034,M016,34,Broker/Dukes,Mission,Shadow,Story,M008,Broker/Dukes,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0035,FA001,35,Broker/Dukes,Friend Activity,Eat with Little Jacob,100%,M016,Broker/Dukes,Call Little Jacob and complete the eating activity with him.,Little Jacob is now a required 100% friend; completing each available activity once now establishes the whole friendship requirement early.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,"For 100%, Little Jacob must be taken to every available activity and his special ability must be unlocked.",
T0036,FA002,36,Broker/Dukes,Friend Activity,Drink with Little Jacob,100%,M016,Broker/Dukes,Call Little Jacob and complete the drinking activity with him.,Little Jacob is now a required 100% friend; completing each available activity once now establishes the whole friendship requirement early.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,"For 100%, Little Jacob must be taken to every available activity and his special ability must be unlocked.",
T0037,FA003,37,Broker/Dukes,Friend Activity,Play Pool with Little Jacob,100%,M016,Broker/Dukes,Call Little Jacob and complete the pool activity with him.,Little Jacob is now a required 100% friend; completing each available activity once now establishes the whole friendship requirement early.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,"For 100%, Little Jacob must be taken to every available activity and his special ability must be unlocked.",
T0038,FA004,38,Broker/Dukes,Friend Activity,Play Darts with Little Jacob,100%,M016,Broker/Dukes,Call Little Jacob and complete the darts activity with him.,Little Jacob is now a required 100% friend; completing each available activity once now establishes the whole friendship requirement early.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,"For 100%, Little Jacob must be taken to every available activity and his special ability must be unlocked.",
T0039,FA005,39,Broker/Dukes,Friend Activity,Visit the Strip Club with Little Jacob,100%,M016,Broker/Dukes,Call Little Jacob and complete the strip club activity with him.,Little Jacob is now a required 100% friend; completing each available activity once now establishes the whole friendship requirement early.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,"For 100%, Little Jacob must be taken to every available activity and his special ability must be unlocked.",
T0040,FA006,40,Broker/Dukes,Friend Activity,See a Show with Little Jacob,100%,M016,Broker/Dukes,Call Little Jacob and complete the show activity with him.,Little Jacob is now a required 100% friend; completing each available activity once now establishes the whole friendship requirement early.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,"For 100%, Little Jacob must be taken to every available activity and his special ability must be unlocked.",
T0041,FR001,41,Broker/Dukes,Friend Ability,Unlock Little Jacob's Discount Guns ability,100%,75% Like,Broker/Dukes,Raise Little Jacob's Like stat until his Discount Guns ability unlocks.,Finishing the friendship threshold now prevents a late-game grind and satisfies the required friend-ability condition.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,Steam guide lists the ability at 75% Like; the PDF's 100% checklist lists a lower friendship threshold for completion. Reaching the ability threshold safely covers both.,
T0042,RC004,42,Broker/Dukes,Random Character,Real Badman,100%,M016,Dukes,Complete Real Badman's random encounter when his icon appears.,"He becomes relevant in the same early-area window, so clearing the encounter now avoids returning later.",Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,,
T0043,DD001,43,Broker/Dukes,Drug Delivery,Cerveza Heights Carstack Ambush,100%,M016,Broker/Dukes,Call Little Jacob for work and complete this drug delivery when assigned.,All ten deliveries are concentrated in the eastern boroughs; batching them before moving on reduces future travel.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,Exact assignment order may vary; check off the matching delivery name as it appears.,
T0044,DD002,44,Broker/Dukes,Drug Delivery,Outlook Park Ambush,100%,M016,Broker/Dukes,Call Little Jacob for work and complete this drug delivery when assigned.,All ten deliveries are concentrated in the eastern boroughs; batching them before moving on reduces future travel.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,Exact assignment order may vary; check off the matching delivery name as it appears.,
T0045,DD003,45,Broker/Dukes,Drug Delivery,Willis Alley Sting,100%,M016,Broker/Dukes,Call Little Jacob for work and complete this drug delivery when assigned.,All ten deliveries are concentrated in the eastern boroughs; batching them before moving on reduces future travel.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,Exact assignment order may vary; check off the matching delivery name as it appears.,
T0046,DD004,46,Broker/Dukes,Drug Delivery,Schottler Timer,100%,M016,Broker/Dukes,Call Little Jacob for work and complete this drug delivery when assigned.,All ten deliveries are concentrated in the eastern boroughs; batching them before moving on reduces future travel.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,Exact assignment order may vary; check off the matching delivery name as it appears.,
T0047,DD005,47,Broker/Dukes,Drug Delivery,Meadows Park Ambush,100%,M016,Broker/Dukes,Call Little Jacob for work and complete this drug delivery when assigned.,All ten deliveries are concentrated in the eastern boroughs; batching them before moving on reduces future travel.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,Exact assignment order may vary; check off the matching delivery name as it appears.,
T0048,DD006,48,Broker/Dukes,Drug Delivery,Meadow Hills Ambush,100%,M016,Broker/Dukes,Call Little Jacob for work and complete this drug delivery when assigned.,All ten deliveries are concentrated in the eastern boroughs; batching them before moving on reduces future travel.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,Exact assignment order may vary; check off the matching delivery name as it appears.,
T0049,DD007,49,Broker/Dukes,Drug Delivery,Meadows Park Festival Towers Sting,100%,M016,Broker/Dukes,Call Little Jacob for work and complete this drug delivery when assigned.,All ten deliveries are concentrated in the eastern boroughs; batching them before moving on reduces future travel.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,Exact assignment order may vary; check off the matching delivery name as it appears.,
T0050,DD008,50,Broker/Dukes,Drug Delivery,East Island City Tunnel Timer,100%,M016,Broker/Dukes,Call Little Jacob for work and complete this drug delivery when assigned.,All ten deliveries are concentrated in the eastern boroughs; batching them before moving on reduces future travel.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,Exact assignment order may vary; check off the matching delivery name as it appears.,
T0051,DD009,51,Broker/Dukes,Drug Delivery,Beachwood City Timer,100%,M016,Broker/Dukes,Call Little Jacob for work and complete this drug delivery when assigned.,All ten deliveries are concentrated in the eastern boroughs; batching them before moving on reduces future travel.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,Exact assignment order may vary; check off the matching delivery name as it appears.,
T0052,DD010,52,Broker/Dukes,Drug Delivery,Steinway Apartment Tower Timer,100%,M016,Broker/Dukes,Call Little Jacob for work and complete this drug delivery when assigned.,All ten deliveries are concentrated in the eastern boroughs; batching them before moving on reduces future travel.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,Exact assignment order may vary; check off the matching delivery name as it appears.,
T0053,M017,53,Broker/Dukes,Mission,Final Destination,Story,M015,Broker/Dukes,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0054,M018,54,Broker/Dukes,Mission,Logging On,Story,M014,Broker,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0055,EE001,55,Broker/Dukes,Exotic Export,Exotic Export – Banshee,100%,M018,Broker/Dukes/Bohan,"Check Brucie's email, steal the requested vehicle, and deliver it to his garage.",Logging On enables the email workflow; completing all ten now keeps the eastern-island vehicle work together.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,The checklist source identifies the ten export locations; verify exact email/request order during playthrough.,Vehicle location/scenario can vary by playthrough; use Brucie's email and the in-game map marker.
T0056,EE002,56,Broker/Dukes,Exotic Export,Exotic Export – Cavalcade,100%,M018,Broker/Dukes/Bohan,"Check Brucie's email, steal the requested vehicle, and deliver it to his garage.",Logging On enables the email workflow; completing all ten now keeps the eastern-island vehicle work together.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,The checklist source identifies the ten export locations; verify exact email/request order during playthrough.,Vehicle location/scenario can vary by playthrough; use Brucie's email and the in-game map marker.
T0057,EE003,57,Broker/Dukes,Exotic Export,Exotic Export – Feltzer,100%,M018,Broker/Dukes/Bohan,"Check Brucie's email, steal the requested vehicle, and deliver it to his garage.",Logging On enables the email workflow; completing all ten now keeps the eastern-island vehicle work together.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,The checklist source identifies the ten export locations; verify exact email/request order during playthrough.,Vehicle location/scenario can vary by playthrough; use Brucie's email and the in-game map marker.
T0058,EE004,58,Broker/Dukes,Exotic Export,Exotic Export – Intruder,100%,M018,Broker/Dukes/Bohan,"Check Brucie's email, steal the requested vehicle, and deliver it to his garage.",Logging On enables the email workflow; completing all ten now keeps the eastern-island vehicle work together.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,The checklist source identifies the ten export locations; verify exact email/request order during playthrough.,Vehicle location/scenario can vary by playthrough; use Brucie's email and the in-game map marker.
T0059,EE005,59,Broker/Dukes,Exotic Export,Exotic Export – NRG 900,100%,M018,Broker/Dukes/Bohan,"Check Brucie's email, steal the requested vehicle, and deliver it to his garage.",Logging On enables the email workflow; completing all ten now keeps the eastern-island vehicle work together.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,The checklist source identifies the ten export locations; verify exact email/request order during playthrough.,Vehicle location/scenario can vary by playthrough; use Brucie's email and the in-game map marker.
T0060,EE006,60,Broker/Dukes,Exotic Export,Exotic Export – Patriot,100%,M018,Broker/Dukes/Bohan,"Check Brucie's email, steal the requested vehicle, and deliver it to his garage.",Logging On enables the email workflow; completing all ten now keeps the eastern-island vehicle work together.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,The checklist source identifies the ten export locations; verify exact email/request order during playthrough.,Vehicle location/scenario can vary by playthrough; use Brucie's email and the in-game map marker.
T0061,EE007,61,Broker/Dukes,Exotic Export,Exotic Export – PCJ 600,100%,M018,Broker/Dukes/Bohan,"Check Brucie's email, steal the requested vehicle, and deliver it to his garage.",Logging On enables the email workflow; completing all ten now keeps the eastern-island vehicle work together.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,The checklist source identifies the ten export locations; verify exact email/request order during playthrough.,Vehicle location/scenario can vary by playthrough; use Brucie's email and the in-game map marker.
T0062,EE008,62,Broker/Dukes,Exotic Export,Exotic Export – PMP 600,100%,M018,Broker/Dukes/Bohan,"Check Brucie's email, steal the requested vehicle, and deliver it to his garage.",Logging On enables the email workflow; completing all ten now keeps the eastern-island vehicle work together.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,The checklist source identifies the ten export locations; verify exact email/request order during playthrough.,Vehicle location/scenario can vary by playthrough; use Brucie's email and the in-game map marker.
T0063,EE009,63,Broker/Dukes,Exotic Export,Exotic Export – Sabre GT,100%,M018,Broker/Dukes/Bohan,"Check Brucie's email, steal the requested vehicle, and deliver it to his garage.",Logging On enables the email workflow; completing all ten now keeps the eastern-island vehicle work together.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,The checklist source identifies the ten export locations; verify exact email/request order during playthrough.,Vehicle location/scenario can vary by playthrough; use Brucie's email and the in-game map marker.
T0064,EE010,64,Broker/Dukes,Exotic Export,Exotic Export – Sanchez,100%,M018,Broker/Dukes/Bohan,"Check Brucie's email, steal the requested vehicle, and deliver it to his garage.",Logging On enables the email workflow; completing all ten now keeps the eastern-island vehicle work together.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,GTA4.net 100% Checklist PDF,The checklist source identifies the ten export locations; verify exact email/request order during playthrough.,Vehicle location/scenario can vary by playthrough; use Brucie's email and the in-game map marker.
T0065,M019,65,Broker/Dukes,Mission,No Love Lost,Story,M017,Broker/Dukes,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0066,M020,66,Broker/Dukes,Mission,Rigged to Blow,Story,M019,Broker/Dukes,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0067,M021,67,Broker/Dukes,Mission,Search and Delete,Story,M018,Broker/Dukes,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0068,M022,68,Broker/Dukes,Mission,Easy as Can Be,Story,M021,Broker/Dukes,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0069,M023,69,Broker/Dukes,Mission,The Master and the Molotov,Story,M020,Broker,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0070,M024,70,Broker/Dukes,Mission,Russian Revolution,Story,M023,Broker,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0071,M025,71,Broker/Dukes,Mission,Roman's Sorrow,Story,M024,Broker,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0072,M026,72,Bohan,Mission,Out of the Closet,Story,M022,Bohan/Algonquin,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0073,M027,73,Bohan,Mission,No. 1,Story,M026,Broker/Dukes,Complete the mission.,This placement follows the chosen logical linear route while preserving each mission chain.,Ready for Review,Partial,Steam Linear Checklist,GTA Wiki – Missions in GTA IV,Mission name/order cross-checked against the Steam linear checklist and GTA Wiki mission list. Exact optimal placement remains subject to playthrough validation.,
T0074,FA007,74,Bohan,Friend Activity,Eat with Brucie,100%,M027,Broker/Dukes/Bohan,Call Brucie and complete the eating activity with him.,Brucie is now a required 100% friend; clear all activities currently available before the map expands.,Ready for Review,Partial,GTA Wiki – 100% Completion in GTA IV,Steam Linear Checklist,Helicopter and boating activities are deferred until after Blow Your Cover because the Steam guide identifies that later unlock point.,
